azimuth[deg], altitude[deg], patchArea, vector.x, vector.y, vector.z, radiance
205.35211, 7.5, 0.001218203308722143, -0.424516845, -0.895962255, 0.130526192, 0.3023712587210341
210.42254, 7.5, 0.001218203308722143, -0.502040872, -0.854937352, 0.130526192, 0.26351915429219636
215.49296, 7.5, 0.001218203308722143, -0.57563575, -0.807221405, 0.130526192, 0.2290581098296514
220.56338, 7.5, 0.001218203308722143, -0.644725497, -0.753187856, 0.130526192, 0.19924200270019082
225.6338, 7.5, 0.001218203308722143, -0.708769393, -0.693259591, 0.130526192, 0.17428978429929545
230.70423, 7.5, 0.001218203308722143, -0.767266207, -0.62790563, 0.130526192, 0.15437017906164435
235.77465, 7.5, 0.001218203308722143, -0.819758123, -0.557637456, 0.130526192, 0.1395845387111686
240.84507, 7.5, 0.001218203308722143, -0.865834321, -0.483005013, 0.130526192, 0.12995105674645654
245.91549, 7.5, 0.001218203308722143, -0.90513419, -0.4045924, 0.130526192, 0.12539223354654286
250.98592, 7.5, 0.001218203308722143, -0.937350158, -0.323013304, 0.130526192, 0.12572663223174707
256.05634, 7.5, 0.001218203308722143, -0.96223009, -0.23890619, 0.130526192, 0.13066540591258358
261.12676, 7.5, 0.001218203308722143, -0.979579266, -0.152929312, 0.130526192, 0.13981369752610848
266.19718, 7.5, 0.001218203308722143, -0.989261907, -0.065755554, 0.130526192, 0.15267674613459767
271.26761, 7.5, 0.001218203308722143, -0.991202232, 0.02193283, 0.130526192, 0.1686703378698532
276.33803, 7.5, 0.001218203308722143, -0.985385055, 0.109449559, 0.130526192, 0.18713509230759273
281.40845, 7.5, 0.001218203308722143, -0.971855905, 0.196109698, 0.130526192, 0.2073539630399814
286.47887, 7.5, 0.001218203308722143, -0.950720664, 0.281235012, 0.130526192, 0.2285722478445369
291.5493, 7.5, 0.001218203308722143, -0.922144745, 0.364159282, 0.130526192, 0.2500193458869569
296.61972, 7.5, 0.001218203308722143, -0.886351793, 0.444233511, 0.130526192, 0.2709314654296873
